Chip Run Info,D:\PCR DATA\Goran\01072014 HSC ss5 MS\ChipRun.bml,1361898495,96.96 (136x),GE 96x96 Standard v2,ROX,FAM-MGB,7/1/2014 5:04:21 PM,01:31:10,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.6
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,Comments
S06-A22,SS6,Unknown,1, ,ID2,Test,ref,14.2333209237641,0.786679566171254,Pass,0.0122855592702119,999,0,Fail,2.05734582842827,0.786679566171254,Pass,999,-1,0,Fail,
S06-A23,SS6,Unknown,1, ,LMO2,Test,ref,14.6039142701637,0.930378663568946,Pass,0.00758847865136622,999,0,Fail,2.4279391748279,0.930378663568946,Pass,999,-1,0,Fail,
S06-A24,SS6,Unknown,1, ,ref,Reference,,11.8637386747349,1,Pass,0.00547711740858932,999,0,Fail,-0.312236420600907,0.940985217759941,Pass,999,-1,0,Fail,
S06-A25,SS6,Unknown,1, ,BMI1,Test,ref,13.8798380590218,0.792892716031456,Pass,0.0128993322677345,999,0,Fail,1.70386296368591,0.792892716031456,Pass,999,-1,0,Fail,
S06-A26,SS6,Unknown,1, ,CCR,Test,ref,999,0,Fail,0.00818805193545112,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A27,SS6,Unknown,1, ,CD18,Test,ref,16.4994048319508,0.737839479349091,Pass,0.00925003762727756,999,0,Fail,4.32342973661496,0.737839479349091,Pass,999,-1,0,Fail,
S06-A28,SS6,Unknown,1, ,CD36,Test,ref,999,0,Fail,0.0142798031525467,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A29,SS6,Unknown,1, ,CD55,Test,ref,14.6343847466291,0.851062752972212,Pass,0.00668291726756213,999,0,Fail,2.45840965129322,0.851062752972212,Pass,999,-1,0,Fail,
S06-A30,SS6,Unknown,1, ,CD97,Test,ref,17.7411424338046,0.958284426426229,Pass,0.00847193364645452,999,0,Fail,5.56516733846876,0.940985217759941,Pass,999,-1,0,Fail,
S06-A31,SS6,Unknown,1, ,CDKN2C,Test,ref,999,0,Fail,0.00740745955247231,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A32,SS6,Unknown,1, ,ENG,Test,ref,14.9095067134741,0.992413140376873,Pass,0.00900706227692326,999,0,Fail,2.73353161813822,0.940985217759941,Pass,999,-1,0,Fail,
S06-A33,SS6,Unknown,1, ,GFI1,Test,ref,999,0,Fail,0.00459278880011109,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A34,SS6,Unknown,1, ,IGF2BPI,Test,ref,15.8071434492343,1,Pass,0.00917964402223912,999,0,Fail,3.63116835389848,0.940985217759941,Pass,999,-1,0,Fail,
S06-A35,SS6,Unknown,1, ,LYL1,Test,ref,16.6909260076292,0.877535310398806,Pass,0.00543433262818719,999,0,Fail,4.51495091229337,0.877535310398806,Pass,999,-1,0,Fail,
S06-A36,SS6,Unknown,1, ,RUNX1,Test,ref,14.2201930567686,0.876137942117763,Pass,0.00906314899108036,999,0,Fail,2.04421796143276,0.876137942117763,Pass,999,-1,0,Fail,
S06-A37,SS6,Unknown,1, ,CCNA1,Test,ref,999,0,Fail,0.0233889804490084,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A38,SS6,Unknown,1, ,CD100,Test,ref,999,0,Fail,0.00775506250391744,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A39,SS6,Unknown,1, ,CD84,Test,ref,999,0,Fail,0.0195040049282306,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A40,SS6,Unknown,1, ,CD38,Test,ref,999,0,Fail,0.015635308545831,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A41,SS6,Unknown,1, ,CD56,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A42,SS6,Unknown,1, ,CD98,Test,ref,15.8535165821257,0.951539429437649,Pass,0.00959679854555403,999,0,Fail,3.67754148678983,0.940985217759941,Pass,999,-1,0,Fail,
S06-A43,SS6,Unknown,1, ,CEACAM1,Test,ref,999,0,Fail,0.00517922557972216,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A44,SS6,Unknown,1, ,EPOR,Test,ref,999,0,Fail,0.00714922939070527,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A45,SS6,Unknown,1, ,Hes1,Test,ref,999,0,Fail,0.00476066601553474,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S06-A46,SS6,Unknown,1, ,IK7F,Test,ref,14.9599470746662,1,Pass,0.00709356824211718,999,0,Fail,2.7839719793304,0.940985217759941,Pass,999,-1,0,Fail,
