EvaGreen Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,ERG,LDB1,TAL1,SIGLEC5,KLF4,HOXA4,CBFA2T3,LMO2,ETV6,FN3K,KLF11,ITGA2B7,FLI1,LYL1,CLNK,PAX5,CEACAM1-2,ITGA2B4,GATA1,MEIS1,LCK,CSF1R,ANXA2,AREG,GATA2,MITF,PLEK,PLOD3,JUN,FIGN,GFI1,NFE2,CSF2RB,CR1,HIST1H3A,Hsp-90,GFI1B,SPI1,IL7R,CD22,ABO,actin,HHEX,RUNX1,ID2,CST7, IL13RA1,CD34
42,Ref Y1,10.3150827,9.829235182,12.42186227,14.82728771,14.8743053,14.10918214,12.83417318,10.46549038,9.432165276,18.02777641,13.36301738,14.09749345,11.68471292,12.48389324,14.68269228,17.48703041,17.55003989,15.06693196,16.79623883,12.49132314,999,13.0549802,14.99989145,9.630386749,12.37195494,18.55415665,11.62318799,15.19457604,11.53717601,16.05983304,15.07267368,10.93041224,13.65525121,16.31130478,11.17821975,9.610392268,13.47355729,12.42739046,15.81241323,16.38162653,999,6.854559976,12.0830304,10.39770203,13.42536906,12.22125931,18.79683265,11.02962152
43,NTC,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
44,Y112H2,12.96322669,15.30103022,16.12484675,999,999,14.27647939,16.88438697,13.44562506,13.41419801,16.36164536,999,999,12.33843816,999,999,999,999,999,999,14.88075709,24.85059784,999,18.28715482,12.7001848,13.91039244,999,999,999,13.81471261,16.6979336,15.24633154,12.43383378,22.85736731,16.29653679,13.45268308,14.53886514,14.8694857,14.40102971,999,999,15.26432321,11.62584554,14.16511553,13.06995174,16.041848,999,999,13.45231528
45,Y112H3,13.20931333,16.13698599,999,999,999,15.33578756,16.71336694,13.92086655,14.24997975,999,999,999,14.32721781,20.39159716,24.81113651,999,999,24.53738121,999,14.33667882,999,999,16.59950218,14.55606053,999,999,13.99507385,999,12.93683369,17.91411304,999,14.35762555,15.11658297,15.73489095,15.11753389,12.65041913,20.53225837,13.76104749,999,15.39643053,999,10.62357079,16.36517009,13.24509749,28.95834264,999,999,12.87053972
46,Y112H4,12.61955874,14.86137443,14.56473974,12.98727969,999,18.27281614,999,12.23162291,12.41902641,999,15.34474981,24.27425101,12.50259626,15.33243895,999,999,999,999,999,14.71645873,999,999,20.07769782,999,14.74905576,999,14.95883224,999,17.41960828,16.69755067,999,14.29046132,999,15.73722626,12.02319946,12.65270377,25.62949147,13.72547152,999,999,14.13763206,10.27409476,15.69501271,13.89669619,22.37642855,24.68689297,999,12.26196503
47,Y112H5,12.15871396,16.58906605,999,999,999,15.86322011,17.15282183,13.25707087,12.14276855,999,999,15.8596613,13.4088964,14.37684568,15.24974784,999,999,15.6922335,999,14.41354778,999,999,999,11.45274654,13.74526099,999,23.89328668,15.41543254,13.10801559,999,999,16.3905222,19.96251723,15.6612535,16.24656487,13.73034349,999,13.85175573,999,999,15.10752238,10.63499521,13.53361836,16.6012896,20.88341123,999,999,13.4343223
48,Ref Y2,10.96487527,10.97006405,13.58920236,15.90985002,15.78078656,14.42741256,13.45139044,11.5675235,10.13388708,18.23433136,14.08368607,15.66735055,12.55053632,12.9034283,15.54941581,17.99739323,18.56119809,15.78885979,17.25200954,13.35871384,999,14.76100281,15.72471603,10.1831386,13.00094013,19.35186504,12.29338148,15.7979776,11.53206261,16.72701091,15.79150264,11.68484471,14.3198298,17.05117272,11.77572966,10.30613309,14.25257071,13.04085742,16.51533125,16.92642203,999,7.545890202,13.08216878,11.09206337,14.12273396,12.88913015,19.41135508,11.68064624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,ERG,LDB1,TAL1,SIGLEC5,KLF4,HOXA4,CBFA2T3,LMO2,ETV6,FN3K,KLF11,ITGA2B7,FLI1,LYL1,CLNK,PAX5,CEACAM1-2,ITGA2B4,GATA1,MEIS1,LCK,CSF1R,ANXA2,AREG,GATA2,MITF,PLEK,PLOD3,JUN,FIGN,GFI1,NFE2,CSF2RB,CR1,HIST1H3A,Hsp-90,GFI1B,SPI1,IL7R,CD22,ABO,actin,HHEX,RUNX1,ID2,CST7, IL13RA1,CD34
